dayofwk,weather,lightcond,alcohol,drug,traffic_signal,relationtord,roadcond,nolanes,truckinv,intersection,direction,gender,age,speedlmt,severity
weekday,Other,Dark,0,0,stop_yield,Onroad,Ice_snow,less2,0,1,divided,M,adult,0-25,0
weekday,clear/Cloudy,Dark,0,0,Signal,Onroad,Ice_snow,less2,0,1,notphyseparated,M,adult,0-25,0
weekday,clear/Cloudy,Daylight,0,0,None,Other,Ice_snow,less2,0,0,Non_traffic,F,adult,55-70,0
weekday,clear/Cloudy,Daylight,0,0,None,Other,Dry,less2,0,0,Non_traffic,F,elder,55-70,0
weekend,clear/Cloudy,Daylight,0,0,None,Other,Dry,less2,0,0,notphyseparated,M,young,0-25,0
weekday,Other,Dark,0,0,stop_yield,Onroad,Ice_snow,morethan3,0,1,notphyseparated,F,young,0-25,0
weekday,clear/Cloudy,Daylight,0,0,None,Other,Dry,less2,0,1,notphyseparated,M,young,0-25,0
weekday,clear/Cloudy,Daylight,0,0,stop_yield,Other,Dry,morethan3,0,1,notphyseparated,F,adult,30-50,0
weekday,Other,Dark,0,0,None,Onroad,Ice_snow,less2,0,0,notphyseparated,M,adult,30-50,0
weekday,Other,Dark,0,0,None,Onroad,Ice_snow,morethan3,0,0,notphyseparated,M,adult,30-50,0
weekend,clear/Cloudy,Dark,1,0,None,Onroad,Dry,less2,0,0,notphyseparated,M,adult,0-25,0
weekend,clear/Cloudy,Daylight,0,0,None,Other,Dry,less2,0,0,Non_traffic,M,adult,55-70,1
weekend,clear/Cloudy,Dark,1,0,stop_yield,Onroad,Dry,less2,0,0,notphyseparated,M,adult,30-50,0
weekday,Other,Daylight,0,0,None,Onroad,Ice_snow,morethan3,0,0,notphyseparated,F,adult,30-50,0
weekend,clear/Cloudy,Daylight,0,0,Signal,Onroad,Dry,morethan3,0,1,notphyseparated,M,adult,30-50,0
weekday,clear/Cloudy,Daylight,0,0,None,Onroad,Dry,morethan3,0,1,notphyseparated,,elder,0-25,0
weekend,clear/Cloudy,Dark,0,0,stop_yield,Onroad,Dry,less2,0,1,notphyseparated,F,young,0-25,0
weekday,clear/Cloudy,Dark,0,0,None,Other,Dry,morethan3,0,0,divided,M,adult,30-50,0
weekend,Other,Dark,0,0,None,Onroad,Ice_snow,less2,0,0,notphyseparated,M,adult,0-25,0
weekend,Other,Dark,0,0,Signal,Onroad,Ice_snow,morethan3,0,1,divided,M,adult,30-50,0
weekend,clear/Cloudy,Daylight,0,0,stop_yield,Other,Dry,less2,0,1,divided,M,young,30-50,1
weekend,clear/Cloudy,Dark,0,0,stop_yield,Onroad,Dry,less2,0,1,notphyseparated,F,adult,30-50,0
weekday,Other,Dark,0,0,Signal,Onroad,Ice_snow,morethan3,0,1,divided,M,adult,30-50,0
weekday,clear/Cloudy,Daylight,0,0,Signal,Onroad,Dry,morethan3,0,1,notphyseparated,F,adult,30-50,0
weekday,Other,Dark,0,0,None,Other,Ice_snow,less2,1,0,divided,M,adult,55-70,1
weekend,Other,Dark,1,0,None,Onroad,Ice_snow,less2,0,0,notphyseparated,M,adult,55-70,1
weekday,clear/Cloudy,Dark,0,0,None,Onroad,Dry,less2,0,0,notphyseparated,M,elder,55-70,1
weekday,clear/Cloudy,Daylight,0,0,None,Onroad,Dry,morethan3,0,0,notphyseparated,M,adult,30-50,0
weekday,clear/Cloudy,Daylight,0,0,stop_yield,Onroad,Dry,morethan3,0,1,notphyseparated,F,young,0-25,0
weekend,Other,Dark,1,0,None,Onroad,Ice_snow,less2,0,0,divided,M,adult,0-25,0
weekday,clear/Cloudy,Dawn_Dusk,0,0,stop_yield,Onroad,Dry,less2,0,1,notphyseparated,M,young,0-25,0
weekday,clear/Cloudy,Daylight,0,0,None,Onroad,Dry,less2,0,0,notphyseparated,M,adult,30-50,0
weekday,clear/Cloudy,Daylight,0,0,None,Other,Dry,less2,0,1,notphyseparated,F,adult,0-25,0
weekday,clear/Cloudy,Daylight,0,0,stop_yield,Onroad,Dry,less2,0,0,notphyseparated,M,elder,0-25,0
weekday,clear/Cloudy,Daylight,0,0,Signal,Onroad,Dry,morethan3,0,1,divided,M,young,30-50,0
weekend,clear/Cloudy,Daylight,0,0,stop_yield,Onroad,Dry,morethan3,0,1,notphyseparated,M,elder,30-50,0
weekday,clear/Cloudy,Daylight,0,0,None,Other,Dry,morethan3,0,1,notphyseparated,M,adult,30-50,0
weekend,clear/Cloudy,Daylight,0,0,None,Onroad,Dry,morethan3,0,0,divided,M,young,30-50,0
weekday,clear/Cloudy,Daylight,0,0,None,Onroad,Dry,less2,0,0,notphyseparated,M,adult,0-25,0
weekday,Other,Dark,1,0,Signal,Onroad,Ice_snow,morethan3,0,1,divided,F,adult,0-25,0
weekday,clear/Cloudy,Daylight,0,0,None,Onroad,Dry,less2,0,1,notphyseparated,F,adult,55-70,0
weekday,clear/Cloudy,Daylight,0,0,Signal,Onroad,Dry,morethan3,0,1,notphyseparated,M,adult,30-50,0
weekend,clear/Cloudy,Daylight,0,0,Signal,Onroad,Dry,morethan3,0,1,notphyseparated,M,adult,55-70,0
weekend,clear/Cloudy,Daylight,0,0,None,Other,Dry,less2,0,0,Non_traffic,M,young,30-50,1
weekday,clear/Cloudy,Daylight,0,0,stop_yield,Onroad,Dry,less2,0,1,notphyseparated,M,young,0-25,0
weekend,Other,Dark,1,0,None,Other,Ice_snow,less2,0,1,notphyseparated,M,adult,0-25,0
weekday,clear/Cloudy,Daylight,0,0,Signal,Onroad,Dry,morethan3,0,1,divided,F,young,30-50,0
weekday,clear/Cloudy,Daylight,0,0,Signal,Onroad,Dry,morethan3,0,1,notphyseparated,F,elder,30-50,1
weekday,clear/Cloudy,Daylight,0,0,None,Onroad,Dry,less2,0,0,notphyseparated,M,young,0-25,0
weekend,Other,Dark,0,0,stop_yield,Onroad,Ice_snow,less2,0,1,notphyseparated,F,adult,0-25,0
weekend,clear/Cloudy,Daylight,0,0,stop_yield,Onroad,Dry,morethan3,0,1,notphyseparated,M,adult,30-50,1
weekday,clear/Cloudy,Dark,0,0,None,Onroad,Dry,morethan3,0,0,divided,M,adult,30-50,1
weekday,clear/Cloudy,Dark,0,0,None,Onroad,Dry,morethan3,0,0,divided,M,adult,30-50,1
weekday,Other,Daylight,0,0,None,Other,Ice_snow,less2,0,0,Non_traffic,F,elder,55-70,0
weekday,clear/Cloudy,Daylight,0,0,None,Other,Dry,less2,0,0,notphyseparated,M,adult,30-50,1
weekday,clear/Cloudy,Daylight,0,0,Signal,Onroad,Dry,morethan3,0,1,divided,M,young,30-50,0
weekday,clear/Cloudy,Daylight,0,0,Signal,Onroad,Dry,morethan3,0,0,divided,M,adult,30-50,0
